,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
64,3544589,1428,16876614,Entire home/apt,,Toronto,,South Riverdale (70),0,0.0,5,3.0,,140.0,,2017-07-10 13:58:01.864832,43.664456,-79.327063
65,17264203,1428,6739062,Entire home/apt,,Toronto,,Church-Yonge Corridor (75),0,0.0,3,1.0,,132.0,,2017-07-10 13:54:37.612807,43.652708000000004,-79.37804100000001
66,13911084,1428,16836712,Entire home/apt,,Toronto,,South Riverdale (70),0,0.0,2,1.0,,128.0,,2017-07-10 13:52:22.506162,43.659773,-79.34209399999999
67,15080976,1428,27991589,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),0,0.0,4,2.0,,144.0,,2017-07-10 13:50:56.294615,43.646565,-79.397258
68,14148974,1428,85459663,Entire home/apt,,Toronto,,Bathurst Manor (34),9,4.0,6,3.0,,135.0,,2017-07-10 13:50:27.444650,43.757104,-79.45984
69,5638501,1428,18116963,Entire home/apt,,Toronto,,Broadview North (57),0,0.0,2,1.0,,140.0,,2017-07-10 13:50:22.864175,43.692904999999996,-79.354453
70,16302710,1428,106060423,Entire home/apt,,Toronto,,Newtonbrook East (50),9,4.5,8,3.0,,143.0,,2017-07-10 13:50:19.178610,43.792429,-79.405201
71,18827774,1428,36884716,Entire home/apt,,Toronto,,Islington-City Centre West (14),0,0.0,4,2.0,,105.0,,2017-07-10 13:49:41.069085,43.610791,-79.560339
72,3869223,1428,4977397,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),12,4.0,4,1.0,,112.0,,2017-07-10 13:49:31.052619,43.622169,-79.48368
73,16040178,1428,22939167,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),0,0.0,3,2.0,,119.0,,2017-07-10 13:46:14.421589,43.623939,-79.487148
74,19342385,1428,17373150,Entire home/apt,,Toronto,,Mimico (includes Humber Bay Shores) (17),0,0.0,2,2.0,,119.0,,2017-07-10 13:46:00.356645,43.629298,-79.47845
75,10036627,1428,51092407,Entire home/apt,,Toronto,,Rosedale-Moore Park (98),0,0.0,4,2.0,,124.0,,2017-07-10 13:36:03.379772,43.691859,-79.394038
